hexagram_id,position,text
1,初九,潛龍勿用。
1,九二,見龍在田，利見大人。
1,九三,君子終日乾乾，夕惕若，厲無咎。
1,九四,或躍在淵，無咎。
1,九五,飛龍在天，利見大人。
1,上九,亢龍有悔。
1,用九,見群龍無首，吉。
2,初六,履霜，堅冰至。
2,六二,直、方、大，不習，無不利。
2,六三,含章可貞，或從王事，無成有終。
2,六四,括囊，無咎無譽。
2,六五,黃裳，元吉。
2,上六,龍戰於野，其血玄黃。
2,用六,利永貞。〈象〉曰：用六永貞，以大終也。
3,初九,磐桓，利居貞，利建侯。
3,六二,屯如，邅如。乘馬班如，匪寇，婚媾。女子貞不字，年乃字。
3,六三,即鹿無虞，惟入于林中，君子幾，不如舍，往吝。
3,六四,乘馬班如，求婚媾；往吉，無不利。
3,九五,屯其膏。小，貞吉；大，貞凶。
3,上六,乘馬班如，泣血漣如。
4,初六,發蒙，利用刑人，用說桎梏；以往吝。
4,九二,包蒙，吉。納婦，吉；子克家。
4,六三,勿用取女，見金夫，不有躬，無攸利。
4,六四,困蒙，吝。
4,六五,童蒙，吉。
4,上九,擊蒙，不利為寇，利禦寇。
5,初九,需於郊，利用恆，無咎。
5,九二,需於沙，小有言，終吉。
5,九三,需于泥，致寇至。
5,六四,需于血，出自穴。
5,九五,需于酒食，貞吉。
5,上六,入于穴，有不速之客三人來，敬之，終吉。
6,初六,不永所事，小有言，終吉。
6,九二,不克訟，歸而逋，其邑人三百戶，無眚。
6,六三,食舊德，貞厲，終吉；或從王事，無成。
6,九四,不克訟，復即命，渝，安貞吉。
6,九五,訟，元吉。
6,上九,或錫之鞶帶，終朝三褫之。
7,初六,師出以律，否臧凶。
7,九二,在師，中吉，無咎，王三錫命。
7,六三,師或輿尸，凶。
7,六四,師左次，無咎。
7,六五,田有禽，利執；言，無咎。長子帥師；弟子輿尸。貞凶。
7,上六,大君有命，開國承家，小人勿用。
8,初六,有孚比之，無咎。有孚盈缶，終來有它吉。
8,六二,比之自內，貞吉。
8,六三,比之匪人。
8,六四,外比之，貞吉。
8,九五,顯比，王用三驅，失前禽，邑人不誡，吉。
8,上六,比之無首，凶。
9,初九,復自道，何其咎？吉。
9,九二,牽復，吉。
9,九三,輿說輻，夫妻反目。
9,六四,有孚，血去惕出，無咎。
9,九五,有孚攣如，富以其鄰。
9,上九,既雨既處，尚德載；婦貞厲，月幾望；君子征凶。
10,初九,素履，往無咎。
10,九二,履道坦坦，幽人貞吉。
10,六三,眇能視，跛能履，履虎尾，咥人，凶。武人為于大君。
10,九四,履虎尾，愬愬，終吉。
10,九五,夬履，貞厲。
10,上九,視履考祥，其旋元吉。
11,初九,拔茅茹，以其彙，征吉。
11,九二,包荒，用馮河；不遐遺，朋亡，得尚于中行。
11,九三,無平不陂，無往不復；艱貞，無咎；勿恤其孚，于食有福。
11,六四,翩翩，不富以其鄰，不戒以孚。
11,六五,帝乙歸妹，以祉元吉。
11,上六,城復于隍，勿用師，自邑告命，貞吝。
12,初六,拔茅茹，以其彙，貞吉，亨。
12,六二,包承。小人吉，大人否，亨。
12,六三,包羞。
12,九四,有命，無咎，疇離祉。
12,九五,休否，大人吉；其亡其亡，繫于苞桑。
12,上九,傾否，先否後喜。
13,初九,同人于門，無咎。
13,六二,同人于宗，吝。
13,九三,伏戎于莽，升其高陵，三歲不興。
13,九四,乘其墉，弗克攻，吉。
13,九五,同人，先號咷而後笑，大師克相遇。
13,上九,同人于郊，無悔。
14,初九,無交害，匪咎，艱則無咎。
14,九二,大車以載，有攸往，無咎。
14,九三,公用亨于天子，小人弗克。
14,九四,匪其彭，無咎。
14,六五,厥孚交如，威如，吉。
14,上九,自天祐之，吉無不利。
15,初六,謙謙君子，用涉大川，吉。
15,六二,鳴謙，貞吉。
15,九三,勞謙，君子有終，吉。
15,六四,無不利，撝謙。
15,六五,不富以其鄰，利用侵伐，無不利。
15,上六,鳴謙，利用行師，征邑國。
16,初六,鳴豫，凶。
16,六二,介于石，不終日，貞吉。
16,六三,盱豫，悔；遲，有悔。
16,九四,由豫，大有得；勿疑，朋盍簪。
16,六五,貞疾，恆不死。
16,上六,冥豫成，有渝無咎。
17,初九,官有渝，貞吉；出門交有功。
17,六二,係小子，失丈夫。
17,六三,係丈夫，失小子。隨有求得，利居貞。
17,九四,隨有獲，貞凶。有孚在道以明，何咎？
17,九五,孚于嘉，吉。
17,上六,拘係之，乃從維之。王用亨于西山。
18,初六,幹父之蠱，有子，考無咎，厲終吉。
18,九二,幹母之蠱，不可貞。
18,九三,幹父之蠱，小有悔，無大咎。
18,六四,裕父之蠱，往見吝。
18,六五,幹父之蠱，用譽。
18,上九,不事王侯，高尚其事。
19,初九,咸臨，貞吉。
19,九二,咸臨，吉，無不利。
19,六三,甘臨，無攸利。既憂之，無咎。
19,六四,至臨，無咎。
19,六五,知臨，大君之宜，吉。
19,上六,敦臨，吉，無咎。
20,初六,童觀，小人無咎，君子吝。
20,六二,闚觀，利女貞。
20,六三,觀我生，進退。
20,六四,觀國之光，利用賓于王。
20,九五,觀我生，君子無咎。
20,上九,觀其生，君子無咎。
21,初九,屨校滅趾，無咎。
21,六二,噬膚，滅鼻，無咎。
21,六三,噬腊肉，遇毒。小吝，無咎。
21,九四,噬乾胏，得金矢，利艱貞，吉。
21,六五,噬乾肉，得黃金，貞厲，無咎。
21,上九,何校滅耳，凶。
22,初九,賁其趾，舍車而徒。
22,六二,賁其須。
22,九三,賁如，濡如，永貞吉。
22,六四,賁如，皤如，白馬翰如；匪寇，婚媾。
22,六五,賁于丘園，束帛戔戔。吝，終吉。
22,上九,白賁，無咎。
23,初六,剝床以足，蔑，貞凶。
23,六二,剝床以辨，蔑，貞凶。
23,六三,剝之，無咎。
23,六四,剝床以膚，凶。
23,六五,貫魚以宮人寵，無不利。
23,上九,碩果不食，君子得輿，小人剝廬。
24,初九,不遠復，無祗悔，元吉。
24,六二,休復，吉。
24,六三,頻復，厲無咎。
24,六四,中行獨復。
24,六五,敦復，無悔。
24,上六,迷復，凶，有災眚。用行師，終有大敗，以其國君凶。至于年不克征。
25,初九,無妄，往吉。
25,六二,不耕穫，不菑畬，則利有攸往。
25,六三,無妄之災，或繫之牛，行人之得，邑人之災。
25,九四,可貞，無咎。
25,九五,無妄之疾，勿藥有喜。
25,上九,無妄，行有眚，無攸利。
26,初九,有厲，利已。
26,九二,輿說輹。
26,九三,良馬逐，利艱貞。曰閑輿衛，利有攸往。
26,六四,童牛之牿，元吉。
26,六五,豶豕之牙，吉。
26,上九,何天之衢，亨。
27,初九,舍爾靈龜，觀我朵頤，凶。
27,六二,顛頤，拂經于丘頤，征凶。
27,六三,拂頤，貞凶，年勿用，無攸利。
27,六四,顛頤，吉。虎視眈眈，其欲逐逐，無咎。
27,六五,拂經，居貞吉，不可涉大川。
27,上九,由頤，厲吉，利涉大川。
28,初六,藉用白茅，無咎。
28,九二,枯楊生稊，老夫得其女妻，無不利。
28,九三,棟橈，凶。
28,九四,棟隆，吉；有它，吝。
28,九五,枯楊生華，老婦得其士夫，無咎無譽。
28,上六,過涉滅頂，凶，無咎。
29,初六,習坎，入于坎窞，凶。
29,九二,坎有險，求小得。
29,六三,來之坎坎，險且枕，入于坎窞，勿用。
29,六四,樽酒，簋貳，用缶，納約自牖，終無咎。
29,九五,坎不盈，祇既平，無咎。
29,上六,係用徽纆，寘于叢棘，三歲不得，凶。
30,初九,履錯然，敬之，無咎。
30,六二,黃離，元吉。
30,九三,日昃之離，不鼓缶而歌，則大耋之嗟，凶。
30,九四,突如其來如，焚如，死如，棄如。
30,六五,出涕沱若，戚嗟若，吉。
30,上九,王用出征，有嘉折首，獲匪其醜，無咎。
31,初六,咸其拇。
31,六二,咸其腓，凶；居吉。
31,九三,咸其股，執其隨，往吝。
31,九四,貞吉，悔亡，憧憧往來，朋從爾思。
31,九五,咸其脢，無悔。
31,上六,咸其輔頰舌。
32,初六,浚恆，貞凶，無攸利。
32,九二,悔亡。
32,九三,不恆其德，或承之羞，貞吝。
32,九四,田無禽。
32,六五,恆其德，貞，婦人吉，夫子凶。
32,上六,振恆，凶。
33,初六,遯尾，厲，勿用有攸往。
33,六二,執之用黃牛之革，莫之勝說。
33,九三,係遯，有疾厲，畜臣妾吉。
33,九四,好遯，君子吉，小人否。
33,九五,嘉遯，貞吉。
33,上九,肥遯，無不利。
34,初九,壯于趾，征凶，有孚。
34,九二,貞吉。
34,九三,小人用壯，君子用罔，貞厲。羝羊觸藩，羸其角。
34,九四,貞吉，悔亡，藩決不羸，壯于大輿之輹。
34,六五,喪羊于易，無悔。
34,上六,羝羊觸藩，不能退，不能遂，無攸利，艱則吉。
35,初六,晉如摧如，貞吉。罔孚，裕無咎。
35,六二,晉如愁如，貞吉。受茲介福，于其王母。
